Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
2500.0,-0.967,0.023,0.298,3.961,-9.531,-3.266,-0.993,0.17,-0.117,0.204,0.268,-2.632,0.985,-0.064,-0.127,20.117,-13.376,22.617
2520.0,-0.952,0.03,0.321,3.373,-11.107,-3.313,-0.99,0.172,-0.125,0.009,0.224,-2.59,0.998,-0.081,-0.149,9.327,-14.957,24.298
2540.0,-0.933,0.023,0.324,2.64,-11.42,-2.979,-0.987,0.175,-0.132,-0.323,0.144,-2.543,1.074,-0.139,-0.142,6.754,-15.163,26.068
2560.0,-0.955,0.016,0.324,1.249,-8.963,-2.732,-1.003,0.16,-0.128,0.734,-0.882,-2.159,1.009,-0.094,-0.153,8.552,-14.475,33.411
2580.0,-0.96,0.013,0.324,-0.394,-6.939,-2.14,-1.0,0.159,-0.124,1.693,-1.19,-1.795,1.014,-0.093,-0.187,9.253,-22.969,35.602
2600.0,-0.955,0.002,0.337,-1.41,-5.275,-1.61,-0.987,0.167,-0.122,1.636,-1.104,-1.61,0.959,-0.219,-0.137,-0.475,-7.952,34.845
2620.0,-0.951,-0.013,0.356,-0.719,-3.502,-1.581,-0.987,0.17,-0.122,0.191,-0.939,-1.492,0.907,-0.356,-0.13,3.579,-19.535,24.883
2640.0,-0.952,-0.008,0.351,1.139,-2.165,-1.301,-0.996,0.163,-0.13,-0.27,-1.21,-0.742,0.94,-0.382,-0.186,5.265,-6.589,15.42
2660.0,-0.96,-0.007,0.355,2.541,0.28,-0.646,-0.999,0.159,-0.131,0.534,-1.953,0.113,0.956,-0.417,-0.31,6.748,2.378,5.577
2680.0,-0.962,-0.005,0.365,3.43,1.677,-0.426,-0.995,0.167,-0.128,0.605,-2.379,0.417,0.961,-0.513,-0.397,7.382,22.492,-12.18
